Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OPs in RegisterStatistics	GFLOP/S achieved	Op name	Device	Input/output tensors
1	 30753.51	     1.00	 30753.51	    13.70	 30753.51	    13.70	     0.00	     0.00	LRNGrad	GPU-0	(128x27x27x192)(128x27x27x192)(128x27x27x192)->(128x27x27x192)
2	 23975.83	     1.00	 23975.83	    10.68	 54729.34	    24.39	     0.00	     0.00	LRNGrad	GPU-0	(128x56x56x64)(128x56x56x64)(128x56x56x64)->(128x56x56x64)
3	 23641.52	     1.00	 23641.52	    10.54	 78370.86	    34.92	     0.00	     0.00	LRN	GPU-0	(128x27x27x192)->(128x27x27x192)
4	 20983.62	     1.00	 20983.62	     9.35	 99354.48	    44.27	     0.00	     0.00	LRN	GPU-0	(128x56x56x64)->(128x56x56x64)
5	 13517.08	     1.00	 13517.08	     6.02	112871.56	    50.30	18651021312.00	  1379.81	Conv2DBackpropFilter	GPU-0	(128x224x224x3)(int32 4x1)(128x56x56x64)->(11x11x3x64)
6	  8613.72	     1.00	  8613.72	     3.84	121485.28	    54.14	18651021312.00	  2165.27	Conv2D	GPU-0	(128x3x224x224)(11x11x3x64)->(128x64x56x56)
7	  6827.92	     1.00	  6827.92	     3.04	128313.20	    57.18	38277218304.00	  5605.99	Conv2DBackpropFilter	GPU-0	(128x13x13x384)(int32 4x1)(128x13x13x256)->(3x3x384x256)
8	  6559.23	     1.00	  6559.23	     2.92	134872.43	    60.10	28707913728.00	  4376.72	Conv2DBackpropFilter	GPU-0	(128x13x13x192)(int32 4x1)(128x13x13x384)->(3x3x192x384)
9	  6419.36	     1.00	  6419.36	     2.86	141291.79	    62.96	57330892800.00	  8930.94	Conv2DBackpropFilter	GPU-0	(128x27x27x64)(int32 4x1)(128x27x27x192)->(5x5x64x192)
10	  6153.42	     1.00	  6153.42	     2.74	147445.21	    65.70	38277218304.00	  6220.48	Conv2DBackpropInput	GPU-0	(int32 4x1)(3x3x384x256)(128x256x13x13)->(128x384x13x13)
11	  6132.95	     1.00	  6132.95	     2.73	153578.16	    68.44	38277218304.00	  6241.24	Conv2D	GPU-0	(128x384x13x13)(3x3x384x256)->(128x256x13x13)
12	  5102.51	     1.00	  5102.51	     2.27	158680.67	    70.71	28707913728.00	  5626.23	Conv2D	GPU-0	(128x192x13x13)(3x3x192x384)->(128x384x13x13)
13	  5023.91	     1.00	  5023.91	     2.24	163704.58	    72.95	28707913728.00	  5714.26	Conv2DBackpropInput	GPU-0	(int32 4x1)(3x3x192x384)(128x384x13x13)->(128x192x13x13)
14	  4804.20	     1.00	  4804.20	     2.14	168508.78	    75.09	25518145536.00	  5311.63	Conv2DBackpropFilter	GPU-0	(128x13x13x256)(int32 4x1)(128x13x13x256)->(3x3x256x256)
15	  4626.85	     1.00	  4626.85	     2.06	173135.63	    77.15	57330892800.00	 12390.91	Conv2D	GPU-0	(128x64x27x27)(5x5x64x192)->(128x192x27x27)
16	  4548.08	     1.00	  4548.08	     2.03	177683.71	    79.18	57330892800.00	 12605.52	Conv2DBackpropInput	GPU-0	(int32 4x1)(5x5x64x192)(128x192x27x27)->(128x64x27x27)
17	  4208.04	     1.00	  4208.04	     1.88	181891.75	    81.05	25518145536.00	  6064.14	Conv2D	GPU-0	(128x256x13x13)(3x3x256x256)->(128x256x13x13)
18	  1356.31	     3.00	  4068.93	     1.81	185960.68	    82.87	     0.00	     0.00	Transpose	GPU-0	(128x64x56x56)(int32 4x1)->(128x56x56x64)
19	  4050.30	     1.00	  4050.30	     1.80	190010.98	    84.67	25518145536.00	  6300.31	Conv2DBackpropInput	GPU-0	(int32 4x1)(3x3x256x256)(128x256x13x13)->(128x256x13x13)
20	  3041.08	     1.00	  3041.08	     1.36	193052.06	    86.03	59719680.00	    19.64	MaxPoolGrad	GPU-0	(128x64x56x56)(128x64x27x27)(128x64x27x27)->(128x64x56x56)
21	   948.84	     3.00	  2846.53	     1.27	195898.59	    87.30	     0.00	     0.00	Transpose	GPU-0	(128x192x27x27)(int32 4x1)->(128x27x27x192)
22	  1366.59	     2.00	  2733.18	     1.22	198631.77	    88.51	     0.00	     0.00	Transpose	GPU-0	(128x56x56x64)(int32 4x1)->(128x64x56x56)
23	  1977.59	     1.00	  1977.59	     0.88	200609.36	    89.40	     0.00	     0.00	ReluGrad	GPU-0	(128x64x56x56)(128x64x56x56)->(128x64x56x56)
24	   954.60	     2.00	  1909.20	     0.85	202518.56	    90.25	     0.00	     0.00	Transpose	GPU-0	(128x27x27x192)(int32 4x1)->(128x192x27x27)
25	  1866.45	     1.00	  1866.45	     0.83	204385.01	    91.08	     0.00	     0.00	Transpose	GPU-0	(128x224x224x3)(int32 4x1)->(128x3x224x224)
26	  1713.54	     1.00	  1713.54	     0.76	206098.55	    91.84	25690112.00	    14.99	BiasAdd	GPU-0	(128x64x56x56)(64x1)->(128x64x56x56)
27	  1383.94	     1.00	  1383.94	     0.62	207482.49	    92.46	     0.00	     0.00	ReluGrad	GPU-0	(128x192x27x27)(128x192x27x27)->(128x192x27x27)
28	  1344.04	     1.00	  1344.04	     0.60	208826.53	    93.06	     0.00	     0.00	Relu	GPU-0	(128x64x56x56)->(128x64x56x56)
29	  1298.45	     1.00	  1298.45	     0.58	210124.98	    93.64	41533440.00	    31.99	MaxPoolGrad	GPU-0	(128x192x27x27)(128x192x13x13)(128x192x13x13)->(128x192x27x27)
30	  1235.07	     1.00	  1235.07	     0.55	211360.05	    94.19	53747712.00	    43.52	MaxPool	GPU-0	(128x64x56x56)->(128x64x27x27)
31	  1183.39	     1.00	  1183.39	     0.53	212543.44	    94.71	17915904.00	    15.14	BiasAdd	GPU-0	(128x192x27x27)(192x1)->(128x192x27x27)
32	   936.94	     1.00	   936.94	     0.42	213480.38	    95.13	     0.00	     0.00	Relu	GPU-0	(128x192x27x27)->(128x192x27x27)
33	   895.72	     1.00	   895.72	     0.40	214376.10	    95.53	37380096.00	    41.73	MaxPool	GPU-0	(128x192x27x27)->(128x192x13x13)
34	   442.56	     2.00	   885.13	     0.39	215261.23	    95.92	     0.00	     0.00	Transpose	GPU-0	(128x384x13x13)(int32 4x1)->(128x13x13x384)
35	   294.38	     3.00	   883.15	     0.39	216144.38	    96.32	     0.00	     0.00	Transpose	GPU-0	(128x256x13x13)(int32 4x1)->(128x13x13x256)
36	   427.50	     2.00	   855.01	     0.38	216999.39	    96.70	     0.00	     0.00	ReluGrad	GPU-0	(128x256x13x13)(128x256x13x13)->(128x256x13x13)
37	   799.92	     1.00	   799.92	     0.36	217799.31	    97.06	11796480.00	    14.75	MaxPoolGrad	GPU-0	(128x256x13x13)(128x256x6x6)(128x256x6x6)->(128x256x13x13)
38	   754.93	     1.00	   754.93	     0.34	218554.24	    97.39	25690048.00	    34.03	BiasAddGrad	GPU-0	(128x56x56x64)->(64x1)
39	   363.80	     2.00	   727.59	     0.32	219281.83	    97.72	11075584.00	    15.22	BiasAdd	GPU-0	(128x256x13x13)(256x1)->(128x256x13x13)
40	   656.93	     1.00	   656.93	     0.29	219938.76	    98.01	     0.00	     0.00	ReluGrad	GPU-0	(128x384x13x13)(128x384x13x13)->(128x384x13x13)
41	   290.46	     2.00	   580.92	     0.26	220519.68	    98.27	     0.00	     0.00	Relu	GPU-0	(128x256x13x13)->(128x256x13x13)
42	   544.91	     1.00	   544.91	     0.24	221064.59	    98.51	8306688.00	    15.24	BiasAdd	GPU-0	(128x384x13x13)(384x1)->(128x384x13x13)
43	   491.57	     1.00	   491.57	     0.22	221556.16	    98.73	17915712.00	    36.45	BiasAddGrad	GPU-0	(128x27x27x192)->(192x1)
44	   435.28	     1.00	   435.28	     0.19	221991.44	    98.92	     0.00	     0.00	Relu	GPU-0	(128x384x13x13)->(128x384x13x13)
45	   170.75	     2.00	   341.51	     0.15	222332.95	    99.08	11075072.00	    32.43	BiasAddGrad	GPU-0	(128x13x13x256)->(256x1)
46	   316.19	     1.00	   316.19	     0.14	222649.14	    99.22	     0.00	     0.00	Transpose	GPU-0	(128x64x27x27)(int32 4x1)->(128x27x27x64)
47	   301.27	     1.00	   301.27	     0.13	222950.41	    99.35	     0.00	     0.00	MEMCPYDtoH	GPU-0	(Transfer)->(3538944 bytes)
48	   271.45	     1.00	   271.45	     0.12	223221.86	    99.47	10616832.00	    39.11	MaxPool	GPU-0	(128x256x13x13)->(128x256x6x6)
49	   259.26	     1.00	   259.26	     0.12	223481.12	    99.59	     0.00	     0.00	MEMCPYDtoH	GPU-0	(Transfer)->(2654208 bytes)
50	   258.87	     1.00	   258.87	     0.12	223739.99	    99.70	8306304.00	    32.09	BiasAddGrad	GPU-0	(128x13x13x384)->(384x1)
51	   244.36	     1.00	   244.36	     0.11	223984.35	    99.81	     0.00	     0.00	MEMCPYDtoH	GPU-0	(Transfer)->(2359296 bytes)
52	   220.04	     1.00	   220.04	     0.10	224204.39	    99.91	     0.00	     0.00	Transpose	GPU-0	(128x192x13x13)(int32 4x1)->(128x13x13x192)
53	   104.69	     1.00	   104.69	     0.05	224309.08	    99.96	     0.00	     0.00	MEMCPYDtoH	GPU-0	(Transfer)->(1228800 bytes)
54	     8.84	     2.00	    17.67	     0.01	224326.75	    99.96	     0.00	     0.00	VariableV2	GPU-0	(no input)->(256x1)
55	     1.10	    11.00	    12.09	     0.01	224338.84	    99.97	     0.00	     0.00	Const	GPU-0	(no input)->(int32 4x1)
56	     7.09	     1.00	     7.09	     0.00	224345.93	    99.97	     0.00	     0.00	MEMCPYDtoH	GPU-0	(Transfer)->(92928 bytes)
57	     6.33	     1.00	     6.33	     0.00	224352.26	    99.98	     0.00	     0.00	NoOp	GPU-0	(no input)->(no output info)
58	     4.42	     1.00	     4.42	     0.00	224356.68	    99.98	     0.00	     0.00	VariableV2	GPU-0	(no input)->(128x224x224x3)
59	     3.58	     1.00	     3.58	     0.00	224360.26	    99.98	     0.00	     0.00	VariableV2	GPU-0	(no input)->(5x5x64x192)
60	     3.31	     1.00	     3.31	     0.00	224363.57	    99.98	     0.00	     0.00	VariableV2	GPU-0	(no input)->(11x11x3x64)
61	     2.70	     1.00	     2.70	     0.00	224366.27	    99.98	     0.00	     0.00	VariableV2	GPU-0	(no input)->(3x3x192x384)
62	     1.35	     2.00	     2.70	     0.00	224368.97	    99.98	     0.00	     0.00	_Retval	CPU-0	(256x1)->(no output info)
63	     2.66	     1.00	     2.66	     0.00	224371.63	    99.98	     0.00	     0.00	VariableV2	GPU-0	(no input)->(64x1)
64	     2.59	     1.00	     2.59	     0.00	224374.22	    99.99	     0.00	     0.00	VariableV2	GPU-0	(no input)->(192x1)
65	     1.26	     2.00	     2.52	     0.00	224376.74	    99.99	     0.00	     0.00	MEMCPYDtoH	GPU-0	(Transfer)->(1024 bytes)
66	     2.50	     1.00	     2.50	     0.00	224379.24	    99.99	     0.00	     0.00	MEMCPYDtoH	GPU-0	(Transfer)->(1536 bytes)
67	     1.12	     2.00	     2.25	     0.00	224381.49	    99.99	     0.00	     0.00	Identity	GPU-0	(256x1)->(256x1)
68	     2.00	     1.00	     2.00	     0.00	224383.49	    99.99	     0.00	     0.00	VariableV2	GPU-0	(no input)->(384x1)
69	     1.93	     1.00	     1.93	     0.00	224385.42	    99.99	     0.00	     0.00	VariableV2	GPU-0	(no input)->(3x3x384x256)
70	     1.69	     1.00	     1.69	     0.00	224387.11	    99.99	     0.00	     0.00	VariableV2	GPU-0	(no input)->(3x3x256x256)
71	     1.42	     1.00	     1.42	     0.00	224388.53	    99.99	     0.00	     0.00	MEMCPYDtoH	GPU-0	(Transfer)->(768 bytes)
72	     1.18	     1.00	     1.18	     0.00	224389.71	    99.99	     0.00	     0.00	Identity	GPU-0	(64x1)->(64x1)
73	     1.17	     1.00	     1.17	     0.00	224390.88	    99.99	     0.00	     0.00	_Retval	CPU-0	(64x1)->(no output info)
74	     1.16	     1.00	     1.16	     0.00	224392.04	    99.99	     0.00	     0.00	Identity	GPU-0	(384x1)->(384x1)
75	     1.12	     1.00	     1.12	     0.00	224393.16	    99.99	     0.00	     0.00	Identity	GPU-0	(3x3x256x256)->(3x3x256x256)
76	     1.11	     1.00	     1.11	     0.00	224394.27	    99.99	     0.00	     0.00	NoOp	CPU-0	(no input)->(no output info)
77	     1.02	     1.00	     1.02	     0.00	224395.29	   100.00	     0.00	     0.00	Identity	GPU-0	(3x3x192x384)->(3x3x192x384)
78	     1.00	     1.00	     1.00	     0.00	224396.29	   100.00	     0.00	     0.00	MEMCPYDtoH	GPU-0	(Transfer)->(256 bytes)
79	     0.96	     1.00	     0.96	     0.00	224397.25	   100.00	     0.00	     0.00	Identity	GPU-0	(11x11x3x64)->(11x11x3x64)
80	     0.95	     1.00	     0.95	     0.00	224398.20	   100.00	     0.00	     0.00	Identity	GPU-0	(192x1)->(192x1)
81	     0.89	     1.00	     0.89	     0.00	224399.09	   100.00	     0.00	     0.00	Identity	GPU-0	(5x5x64x192)->(5x5x64x192)
82	     0.88	     1.00	     0.88	     0.00	224399.97	   100.00	     0.00	     0.00	Identity	GPU-0	(3x3x384x256)->(3x3x384x256)
83	     0.87	     1.00	     0.87	     0.00	224400.84	   100.00	     0.00	     0.00	_Retval	CPU-0	(192x1)->(no output info)
84	     0.82	     1.00	     0.82	     0.00	224401.66	   100.00	     0.00	     0.00	_Retval	CPU-0	(384x1)->(no output info)
85	     0.78	     1.00	     0.78	     0.00	224402.44	   100.00	     0.00	     0.00	_Retval	CPU-0	(3x3x384x256)->(no output info)
86	     0.75	     1.00	     0.75	     0.00	224403.19	   100.00	     0.00	     0.00	_Retval	CPU-0	(11x11x3x64)->(no output info)
87	     0.74	     1.00	     0.74	     0.00	224403.93	   100.00	     0.00	     0.00	_Retval	CPU-0	(3x3x256x256)->(no output info)
88	     0.70	     1.00	     0.70	     0.00	224404.63	   100.00	     0.00	     0.00	_Retval	CPU-0	(5x5x64x192)->(no output info)
89	     0.69	     1.00	     0.69	     0.00	224405.32	   100.00	     0.00	     0.00	_Retval	CPU-0	(3x3x192x384)->(no output info)
90	     0.66	     1.00	     0.66	     0.00	224405.98	   100.00	     0.00	     0.00	Identity	GPU-0	(128x224x224x3)->(128x224x224x3)
